127.0.0.1 - - [13/Jun/2023:10:04:05 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:04:09 +0900] "GET /jm_prj_w_230511/startMain.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:04:10 +0900] "GET /jm_prj_w_230511/cafe_proj_cafeMain.jsp HTTP/1.1" 200 18357
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:04:12 +0900] "GET /jm_prj_w_230511/css/cafe_pro_cafeMain.css?after HTTP/1.1" 200 5854
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:04:12 +0900] "GET /jm_prj_w_230511/js/cafe_pro_cafeMain.js HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:04:12 +0900] "GET /jm_prj_w_230511/audio_src/Kalimba.mp3 HTTP/1.1" 206 8353615
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:04:12 +0900] "GET /jm_prj_w_230511/image_src/main/nav_src/feet-g8989fb746_640.png HTTP/1.1" 200 78817
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:04:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:04:17 +0900] "GET /jm_prj_w_230511/showList.do HTTP/1.1" 200 13744
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:04:17 +0900] "GET /jm_prj_w_230511/js/showList.js HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:04:17 +0900] "GET /jm_prj_w_230511/css/showList.css HTTP/1.1" 200 5973
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:05:49 +0900] "GET /jm_prj_w_230511/view.do?no=27 HTTP/1.1" 200 80032
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:05:49 +0900] "GET /jm_prj_w_230511/css/view.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:05:49 +0900] "GET /jm_prj_w_230511/image_src/showAllPost/app-g05cc8e105_640.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:05:50 +0900] "GET /jm_prj_w_230511/startMain.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:05:50 +0900] "GET /jm_prj_w_230511/cafe_proj_cafeMain.jsp HTTP/1.1" 200 18357
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:05:52 +0900] "GET /jm_prj_w_230511/cafe_pro_logIn.html HTTP/1.1" 200 2547
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:05:52 +0900] "GET /jm_prj_w_230511/js/cafe_pro_logIn.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:05:52 +0900] "GET /jm_prj_w_230511/video_src/logIn/istock-866276848_preview.mp4 HTTP/1.1" 206 1999338
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:05:52 +0900] "GET /jm_prj_w_230511/css/cafe_pro_logIn.css HTTP/1.1" 200 2139
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:05:59 +0900] "POST /jm_prj_w_230511/cafe_logInOK HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:05:59 +0900] "GET /jm_prj_w_230511/startMain.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:05:59 +0900] "GET /jm_prj_w_230511/cafe_proj_cafeMain.jsp HTTP/1.1" 200 18465
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:06:02 +0900] "GET /jm_prj_w_230511/view.do?no=27 HTTP/1.1" 200 90098
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:06:03 +0900] "GET /jm_prj_w_230511/view.do?no=27 HTTP/1.1" 200 90099
